                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.9197,                0.83665,                0.98471,                0.97443,                0.93818,                0.96532,                 0.3771,                 2.0532,                0.81736,                0.99535,             0.00065455,             0.00065455,             0.00065455
                     86,                 1.9205,                0.84057,                0.97426,                0.97169,                0.94524,                0.97113,                0.37531,                 2.0914,                0.81559,                0.99924,             0.00064905,             0.00064905,             0.00064905
                     87,                 1.9332,                0.84099,                0.98313,                 0.9661,                0.93497,                0.96417,                0.37249,                 2.0504,                0.82979,                0.99536,             0.00064355,             0.00064355,             0.00064355
                     88,                 1.9091,                0.83043,                0.98014,                0.96895,                0.94625,                0.96924,                0.37647,                 2.0607,                0.82264,                0.99318,             0.00063805,             0.00063805,             0.00063805
                     89,                 1.9247,                0.83551,                0.98515,                0.95428,                0.93658,                0.94841,                0.36908,                 2.0364,                0.82187,                0.99231,             0.00063255,             0.00063255,             0.00063255
                     90,                  1.909,                0.83746,                0.98316,                0.96267,                0.93487,                0.96503,                0.36612,                 2.0715,                0.82275,                0.99683,             0.00062705,             0.00062705,             0.00062705
                     91,                  1.923,                 0.8304,                0.99053,                0.95912,                0.93981,                0.96324,                0.36764,                 2.0703,                0.81439,                 0.9991,             0.00062155,             0.00062155,             0.00062155
                     92,                 1.9092,                 0.8324,                0.97963,                0.96887,                0.93198,                0.96412,                  0.373,                 2.0707,                0.81386,                0.99606,             0.00061605,             0.00061605,             0.00061605
                     93,                 1.9151,                0.83788,                0.96923,                0.97383,                0.94239,                0.96932,                0.37372,                 2.0621,                0.81343,                0.99278,             0.00061055,             0.00061055,             0.00061055
                     94,                 1.9125,                0.83397,                0.97747,                0.95502,                0.94123,                0.96181,                0.36758,                 2.0491,                0.83248,                0.99588,             0.00060505,             0.00060505,             0.00060505
                     95,                 1.8967,                0.82646,                0.97419,                 0.9704,                0.94374,                0.97015,                0.37916,                 2.0626,                0.80337,                0.99401,             0.00059955,             0.00059955,             0.00059955
                     96,                 1.8952,                0.81758,                0.97108,                0.97579,                0.93266,                0.96767,                 0.3736,                 2.0585,                0.80628,                0.99377,             0.00059405,             0.00059405,             0.00059405
                     97,                 1.9197,                0.83722,                0.97611,                0.95189,                 0.9441,                0.96223,                0.37234,                 2.0644,                0.82565,                0.99426,             0.00058855,             0.00058855,             0.00058855
                     98,                 1.9095,                0.83172,                0.97917,                0.96884,                 0.9277,                0.96481,                0.36844,                 2.0945,                0.81825,                 1.0005,             0.00058305,             0.00058305,             0.00058305
                     99,                  1.913,                 0.8242,                0.97737,                0.96922,                0.93495,                0.96129,                 0.3671,                 2.0673,                0.81647,                0.99767,             0.00057755,             0.00057755,             0.00057755
                    100,                 1.8951,                0.81952,                0.97137,                0.96858,                0.93098,                0.96552,                0.36411,                 2.0719,                0.81307,                0.99451,             0.00057205,             0.00057205,             0.00057205
                    101,                 1.8988,                0.81883,                 0.9738,                0.97911,                0.94393,                0.97194,                0.37371,                 2.0709,                0.80543,                0.99693,             0.00056655,             0.00056655,             0.00056655
                    102,                 1.9015,                0.82294,                0.97441,                0.96231,                0.93402,                0.96141,                0.36863,                 2.1016,                 0.8064,                 1.0011,             0.00056105,             0.00056105,             0.00056105
                    103,                 1.9074,                0.82272,                0.97849,                 0.9691,                0.93164,                0.96778,                0.37043,                 2.0886,                 0.8127,                0.99838,             0.00055556,             0.00055556,             0.00055556
                    104,                 1.8984,                0.82024,                0.97708,                0.95922,                0.93973,                0.96464,                0.37131,                 2.0727,                0.81641,                0.99913,             0.00055006,             0.00055006,             0.00055006
                    105,                 1.8977,                0.81671,                0.97816,                0.96885,                0.93477,                0.96108,                0.36976,                 2.0779,                 0.8146,                0.99975,             0.00054456,             0.00054456,             0.00054456
                    106,                 1.8854,                0.81053,                0.97707,                0.94874,                0.94831,                0.95739,                0.37067,                 2.0628,                0.80774,                0.99554,             0.00053906,             0.00053906,             0.00053906
                    107,                 1.8826,                0.80582,                0.97928,                0.94807,                0.93744,                0.95718,                 0.3651,                 2.0884,                0.81237,                 1.0027,             0.00053356,             0.00053356,             0.00053356
                    108,                 1.8896,                0.81828,                0.97863,                0.97019,                0.92822,                0.96089,                0.36876,                 2.0713,                0.81699,                 1.0005,             0.00052806,             0.00052806,             0.00052806
                    109,                 1.8744,                0.81593,                0.96926,                0.96306,                0.94211,                0.96457,                0.37055,                 2.0905,                0.81644,                0.99955,             0.00052256,             0.00052256,             0.00052256
                    110,                 1.8808,                0.80886,                0.97262,                0.95734,                0.93795,                0.95912,                0.36581,                 2.0819,                 0.8155,                 1.0007,             0.00051706,             0.00051706,             0.00051706
